,Date,Study,Study Link,Journal,Surface,Does Virus persist on surface,Hydrophobic or Hydrophilic,Time of persistence,Design,Sample,Study Population,Sample Text,Matches,Entry
,2020-04-02,"Epidemiology, virology, and clinical features of severe acute respiratory syndrome -coronavirus-2 (SARS-CoV-2; Coronavirus Disease-19)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7170784/,Clin Exp Pediatr,,,,,Other,12,"Based on the data from the Chinese National Reporting System, as of February 20, 2020, the median age of the confirmed cases was 51 years (2 days-100 years), of which 77.8% were 30-69 years.","In a study of 12 SARS-CoV infected pregnant women during outbreak in 2002-2003, 3 women (25% case fatality rate) died and 4 had spontaneous miscarriage.","Recent studies showed that SARS-CoV-2 can remain viable on various surfaces such as stainless steel, plastic, glass, and cardboard at least several hours.

Recent studies showed that SARS-CoV-2 can remain viable on various surfaces such as stainless steel, plastic, glass, and cardboard at least several hours .",2020-05-01
,2020-04-01,Analysis of the Worldwide Corona Virus (COVID-19) Pandemic Trend;A Modelling Study to Predict Its Spread,https://doi.org/10.1101/2020.03.30.20048215,medrxiv,,,,,Modeling,2,"Data collected from the daily situation reports of WHO 2 from the 21 st of January to the18th of March 2020, daily reports from the Ministry of Health, Labour and Welfare of Japan 22 , National Health Commission of the People of China 23 and the Korean Centre for Disease Control 24 .By using this worldwide data set, we can model the data using the Successive Approximation Method.",The lower bound of our proposed model is calculated by selecting the maximum xi between any two successive samples.,"While COVID -19 was found to be more stable on plastic and stainless steel than on copper and cardboard, the viable virus was detected up to 72 hours after application to these surfaces 11 which partly explains it lethality.",2020-04-10
,2020-04-01,Transmission Dynamics of COVID-19 and Impact on Public Health Policy,https://doi.org/10.1101/2020.03.29.20047035,medrxiv,,,,,Modeling,1,"01 02 03 04 05 06 07 08 09 10 11 Cases 204 346 602 763 977 1261 1766 2337 3150 3736 4212 Day 12 13 14 15 16 17 18 19 20 21 22 Cases 4812 5328 5766 6284 6767 7134 7382 7513 7755 7869 7979 Day 23 24 25 26 27 28 29 30 31 32 33 Cases 8086 8162 8236 8320 8413 8565 8652 8799 8897 8961 9037 This data has to be fitted to a curve for w(t), obtained from our model .","01 02 03 04 05 06 07 08 09 10 11 Cases 204 346 602 763 977 1261 1766 2337 3150 3736 4212 Day 12 13 14 15 16 17 18 19 20 21 22 Cases 4812 5328 5766 6284 6767 7134 7382 7513 7755 7869 7979 Day 23 24 25 26 27 28 29 30 31 32 33 Cases 8086 8162 8236 8320 8413 8565 8652 8799 8897 8961 9037 This data has to be fitted to a curve for w(t), obtained from our model (7) .","Scientists have found that the pathogen remains on surfaces for a long time ranging from 3 hours in aerosols, 24 hours on cardboard and up to 3 days on plastic and stainless steel.",2020-04-10
,2020-03-30,Diagnosing COVID-19: The Disease and Tools for Detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144809/,ACS Nano,,,,,Other,2,"29, 30 According to the joint report by the World Health Organization (WHO) and China, 104 strains of the SARS-CoV-2 virus were isolated and sequenced using Illumina and Oxford nanopore sequencing from the end of December 2019 to mid-February 2020.","2 Patients were scanned using computed tomography (CT), which revealed varied opacities (denser, more profuse, and confluent) in comparison to images of healthy lungs.","8, 9 A recent study looking at aerosol and surface stability of SARS-CoV-2 showed that the virus may be found in aerosols (<5 μm) for at least up to 3 h and may be more stable on plastic and stainless steel than on copper and cardboard.",2020-04-17
,2020-03-30,COVID-19 Pandemic: Public Health Implications in Nepal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7112957/,Nepal J Epidemiol,,,,,Other,183112,Most COVID-19 cases are handled and treated at Sukraraj Tropical and Infectious Disease Hospital and the SARS-CoV-2 testing is being done at the Nepal Public Health Laboratory in Kathmandu.,"The WHO declared COVID-19 as a pandemic on the 21st of March 2020, when a total of 183,112 cases were reported worldwide in 163 countries with 11,890 deaths .",The virus could remain contagious in the aerosols for up to 3 hours and remains viable on hard surfaces such as plastic and stainless steel for about 72 hours .,2020-05-12
,2020-03-26,No Time for Tears,https://doi.org/10.1016/j.ophtha.2020.03.030,Ophthalmology,,,,,Other,30,"No Time for Tears Gerami D. Seitzman, MD -San Francisco, California Thuy Doan, MD, PhD -San Francisco, California","2, 3 In a separate study that evaluated conjunctival swabs of 30 patients with COVID-19 pneumonia in China, only 1 patient demonstrated conjunctivitis, and those swabs showed positive results for SARS-CoV-2 by reverse-transcriptase polymerase chain reaction analysis.","The SARS-CoV-2 virus is very stable on stainless steel and plastic surfaces, lasting several days.",2020-05-12
,2020-03-24,Brief Review on COVID-19: The 2020 Pandemic Caused by SARS-CoV-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7179986/,PMC,,,,,Other,,"Case fatality also varies by age: 14.8% in patients aged ≥80 years, 8.0% in patients aged 70-79 years, and 49.0% in critical cases .","Case fatality also varies by age: 14.8% in patients aged ≥80 years, 8.0% in patients aged 70-79 years, and 49.0% in critical cases .",Viable viral particles may remain on stainless steel and plastics for up to 72 hours after application .,2020-05-01
,2020-03-17,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121658/,N Engl J Med,,,,,Other,25,SARS-CoV-2 nCoV-WA1-2020 (MN985325.1) and SARS-CoV-1 Tor2 (AY274119.3) were the strains used.,"Aerosols were maintained in the Goldberg drum and samples 25 were collected at 0, 30, 60, 120 and 180 minutes post-aerosolization on a 47mm gelatin filter (Sartorius).","Virus stability on surfaces 29 Surface stability was evaluated on plastic (polypropylene, ePlastics), AISI 304 alloy stainless steel 30 (Metal Remnants), copper (99.9%) (Metal Remnants) and cardboard (local supplier) representing a variety 31 of household and hospital situations and was performed as described previously at 40% RH and 21-23°C 32 using an inoculum of 10 5 TCID50/mL (van Doremalen et al., 2013) .

Our data consist of 10 experimental conditions: 2 viruses (HCoV-19 and SARS-CoV-1) by 5 54 environmental conditions (aerosols, plastic, stainless steel copper and cardboard).

Our data consisted of 10 experimental conditions involving two viruses (SARS-CoV-2 and SARS-CoV-1) in five environmental conditions (aerosols, plastic, stainless steel, copper, and cardboard).

The longest viability of both viruses was on stainless steel and plastic; the estimated median half-life of SARS-CoV-2 was approximately 5.6 hours on stainless steel and 6.8 hours on plastic (Fig.

The longest viability of both viruses was on stainless steel and plastic; the estimated median half-life of SARS-CoV-2 was approximately 5.6 hours on stainless steel and 6.8 hours on plastic (Figure 1C).",2020-04-10
0,2020-03-13,Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1,https://doi.org/10.1101/2020.03.09.20033217,The New England Journal of Medicine,Plastic,Yes,Hydrophobic,72.0,,,,,,
1,2020-03-13,Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1,https://doi.org/10.1101/2020.03.09.20033217,The New England Journal of Medicine,Stainless Steel,Yes,Hydrophobic,72.0,,,,,,
2,2020-03-13,Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1,https://doi.org/10.1101/2020.03.09.20033217,The New England Journal of Medicine,Copper,Yes,Hydrophobic,4.0,,,,,,
3,2020-03-13,Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1,https://doi.org/10.1101/2020.03.09.20033217,The New England Journal of Medicine,Cardboard,Yes,Hydrophilic,24.0,,,,,,
