,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on,Sample,Sample Text,Matches,Entry
6,2020-03-23,Effectiveness and cost-effectiveness of public health measures to control COVID-19: a modelling study,https://doi.org/10.1101/2020.03.20.20039644,medRxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,Before intervention: 1698±716.41 infectors with no intervention; After intervention: 2±1.08 infectors,-,4/8/20,,,,
7,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis medrxiv,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,"Before intervention: 66% infection rate (179,788 infected individuals) - no activation delay; After intervention: 31.02% IR (84,508 infected individuals)",countries: Australia; cities: Newcastle,4/8/20,,,,
8,2020-03-18,Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)?,https://doi.org/10.1101/2020.03.15.20036533,medRxiv,Respective Cohort Analysis ,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,Before intervention: WHO recommended 14 day quarantine; After intervention: 88.5% effective ,cases: 2015,4/15/20,,,,
9,2020-03-13,Predicting the cumulative number of cases for the COVID-19 epidemic in China from early data,https://doi.org/10.1101/2020.03.11.20034314,medRxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,"Before intervention: Total reported cases 820,000 and unreported 200,000; After intervention: Total reported cases 63,100 and unreported 94,700",countries: China,4/10/20,,,,
10,2020-03-09,"The effect of control strategies that reduce social mixing on outcomes of the COVID-19 epidemic in Wuhan, China",https://doi.org/10.1101/2020.03.09.20033050,medRxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,Before intervention: Unknown; After intervention: reducing the number of infections in mid-2020 by 92% (interquartile range: 66-97%),countries: China; cities: Wuhan,4/10/20,,,,
11,2020-03-06,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,https://doi.org/10.1101/2020.03.03.20029843,medRxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,"Before intervention: 114,325 COVID-19 cases ( [IQR] 76,776 - 164,576); After intervention: 5-fold increase (IQR: 3.3 - 7.1) in cases avoided",countries: China,4/8/20,,,,
12,2020-03-03,A simple model to assess Wuhan lock-down effect and region efforts during COVID-19 epidemic in China Mainland,https://doi.org/10.1101/2020.02.29.20029561,medRxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,"Before intervention: 41,477 cases; After intervention: 15,768 cases",countries: China; cities: Wuhan,4/15/20,,,,
13,2020-02-28,Feasibility of controlling COVID-19 outbreaks by isolation of cases and contacts,https://doi.org/10.1016/S2214-109X(20)30074-7,Lancet Glob Health,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,Before intervention: Reproduction number 2.5; After intervention: 80% of contacts traced and isolated necessary for control of 90% of outbreaks,-,5/3/20,,,,
14,2020-02-17,Estimating the Efficacy of Traffic Blockage and Quarantine for the Epidemic Caused by 2019-nCoV (COVID-19),https://doi.org/10.1101/2020.02.14.20022913,medRxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,Before intervention: current Hubei quaratine factor (HQF)  0.405 current outside Hubei quaratine factor (oHQF) 0.285; After intervention: HQF increased by 0.01 peak infections decrease by 5.53% oHQF increased by 0.01 peak infections decrease by 14.64% total population lockdown - 89.68% decrease in peak value population flows control free - 20.4% increase in peak value,countries: China,4/8/20,,,,
15,2020-02-17,Assessing the Impact of Reduced Travel on Exportation Dynamics of Novel Coronavirus Infection (COVID-19),https://doi.org/10.3390/jcm9020601,Journal of Clinical Medicine,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,"Before intervention: R0 = 2.2 contract tracing leading to isolation at 10%, 30%, and 50%; After intervention: absolute risk reduction 7%, 12%, and 20%, respectively",cities: Wuhan,4/8/20,,,,
16,2020-02-12,Simulating the infected population and spread trend of 2019-nCov under different policy by EIR model medrxiv,https://doi.org/10.1101/2020.02.10.20021519,medRxiv,Modeling Study,case isolation/isolation of exposed individuals (i.e. quarantine) to prevent secondary transmission in health care and community settings,Y,"Before intervention: 100% quarantined rate; After intervention: Peak date: Feb 16th with 49,093 individuals confirmed ",countries: China,4/15/20,,,,
