Category,Date,Study,Study Link,Journal,Severe,Severe Significant,Severe Age Adjusted,Severe OR Calculated or Extracted,Fatality,Fatality Significant,Fatality Age Adjusted,Fatality OR Calculated or Extracted,Design,Sample,Study Population,Sample Text,Matches,Entry
Cancer ci,2020-03-20,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.17.20037572,medrxiv,,,,,,,,,Systematic review,30.0,"Methods: The PubMed, Web of Science Core Collection, Embase, Cochrane and MedRxiv databases were searched through February 25, 2020.","Results: A total of 30 studies including 53000 patients with COVID-19 were included in this study, the mean age was 49.8 years (95% CI, 47.5-52.2 yrs) and 55.5% were male.","Comorbidities with pooled OR larger than 2 included CKD (6.02; 95% CI, 2.19-16.51; n = 4; I 2 = 0), COPD (5.32; 95% CI, ; n = 6; I 2 = 0%), cerebrovascular diseases (3.19 ; 95% CI, 1.51-6.77; n = 6; I 2 = 0%), tumor (3.21; 95% CI, ; n = 4; I 2 = 30%), diabetes (2.49; 95% CI, ; n = 10; I 2 = 44%) and hypertension (2.06; 95% CI, 1.61-2.62; n = 10; I 2 = 36%) ( Figure 4 , eFigure 5).

[95% CI, 4.6-7.3%] vs. 0.1%; [95% CI, 0-0.2%], P < 0.001).

The most common comorbidities were hypertension (19.0%, 95% CI, 13.2-24.9%), followed by diabetes (8.2%, 95% CI, 6.3-10.0%) and cardiovascular diseases (CVD, 2.7%, 95% CI, 1.4-4.1%).

In support, COVID-19 related death was associated with old age ( ≥ 60 yrs, RR = 9.45; 95% CI, 8.09-11.04), male (RR = 1.67, 95% CI, 1.47-1.89) and any comorbidity (5.86; 95% CI, ), most notably CVD (6.75; 95% CI, 5.40-8.43) followed by hypertension (4.48; 95% CI, ) and diabetes (4.43; 95% CI, ).

Meanwhile, old age (≥ 60 yrs, RR = 9.45; 95% CI, 8.09-11.04), followed by cardiovascular disease (RR = 6.75; 95% CI, 5.40-8.43) hypertension (RR = 4.48; 95% CI, 3.69-5.45) and diabetes (RR = 4.43; 95% CI, 3.49-5.61) were found to be independent prognostic factors for the COVID-19 related death.

The predictor for disease severity included old age (≥ 50 yrs, odds ratio [OR] = 2.61; 95% CI, 2.29-2.98), male (OR =1.348, 95% CI, 1.195-1.521), smoking (OR =1.734, 95% CI, 1.146-2.626) and any comorbidity (OR = 2.635, 95% CI, 2.098-3.309), especially chronic kidney disease (CKD, OR = 6.017; 95% CI, 2.192-16.514), chronic obstructive pulmonary disease (COPD, OR = 5.323; 95% CI, 2.613-10.847) and cerebrovascular disease (OR = 3.219; 95% CI, 1.486-6.972).",2020-03-27
Cancer ci,2020-03-16,Challenges and Countermeasures of Integrative Cancer Therapy in the Epidemic of COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7079301/,Integr Cancer Ther,,,,,,,,,Other,0.0,"In December 2019, a novel coronavirus named COVID-19 outbroke in Wuhan, Hubei province, and began spreading rapidly with more than 80 000 cases confirmed and 3000 deaths in China.","In December 2019, a novel coronavirus named COVID-19 outbroke in Wuhan, Hubei province, and began spreading rapidly with more than 80 000 cases confirmed and 3000 deaths in China.","According to the latest study revealing the correlation between COVID-19 and cancer, 18 (1%) of 1590 COVID-19 cases had a history of cancer, which was higher than the incidence of cancer (0.29%) in the overall Chinese population; meanwhile, cancer patients were found to have a higher risk of severe events than patients without cancer.",2020-04-03
Cancer ci,2020-03-12,Prevalence of comorbidities and its effects in patients infected with SARS-CoV-2: a systematic review and meta-analysis,https://doi.org/10.1016/j.ijid.2020.03.017,Int J Infect Dis,,,,,,,,,Systematic review,576.0,"A systematic search was conducted on studies published from January 1, 2019 to February 25, 2020 in PubMed, EMBASE, and Web of Science databases.","As of February 25, 2020, a total of 1 576 participants were included in our meta-analysis.","The most prevalent comorbidities were hypertension (21.1%, 95% CI: 13.0–27.2%) and diabetes (9.7%, 95% CI: 7.2–12.2%), followed by cardiovascular disease (8.4%, 95% CI: 3.8–13.8%) and respiratory system disease (1.5%, 95% CI: 0.9–2.1%).

Higher risk of hypertension (OR 2.36, 95% CI: 1.46–3.83), respiratory system disease (OR 2.46, 95% CI: 1.76–3.44), and cardiovascular disease (OR 3.42, 95% CI: 1.88–6.22) were observed in the severe group.

Higher risk of hypertension (OR 2.36, 95% CI: 1.46-3.83), respiratory system disease (OR 2.46, 95% CI: 1.76-3.44), and cardiovascular disease (OR 3.42, 95% CI: 1.88-6.22) were observed in the severe group.

As shown in Figure 2 (inserts A, B, C, D), the most prevalent comorbidities were hypertension (21.1%, 95% CI: 13.0–27.2%) and diabetes (9.7%, 95% CI: 7.2–12.2%), followed by cardiovascular disease (8.4%, 95% CI: 3.8–13.8%) and respiratory system disease (1.5%, 95% CI: 0.9–2.1%).

As shown in Figure 2 (inserts A, B, C, D), the most prevalent comorbidities were hypertension (21.1%, 95% CI: 13.0-27.2%) and diabetes (9.7%, 95% CI: 7.2-12.2%), followed by cardiovascular disease (8.4%, 95% CI: 3.8-13.8%) and respiratory system disease (1.5%, 95% CI: 0.9-2.1%).

When compared between severe and non-severe patients, the pooled OR of hypertension, respiratory system disease, and cardiovascular disease were 2.36 (95% CI: 1.46–3.83), 2.46 (95% CI: 1.76–3.44) and 3.42 (95% CI: 1.88–6.22) respectively.",2020-05-12
Cancer ci,2020-03-06,ddPCR: a more sensitive and accurate tool for SARS-CoV-2 detection in low viral load specimens,https://doi.org/10.1101/2020.02.29.20029439,medrxiv,,,,,,,,,Other,57.0,"To perform the tests of clinical samples, throat swab samples of 63 suspected outpatients and 14 supposed convalescents were randomly collected by the medical staffs from COVID-19 designated Renmin and Zhongnan Hospital of Wuhan University.","Among 57 samples, all of which were reported as negative nucleic acid by officially approved clinical RT-PCR detection, 43 samples were collected from suspected patients with fever in clinic, and 14 were from supposed convalescents who were about to discharge after treatment.","The sensitivity, specificity, PPV, NPV, NLR and accuracy were improved from 40% (95% CI: 27-55%), 100% (95% CI: 54-100%), 100%, 16% (95% CI: 13-19%), 0.6 (95% CI: 0.48-0.75) and 47% (95% CI: 33-60%) for RT-PCR to 94% (95% CI: 83-99%), 100% (95% CI: 48-100%), 100%, 63% (95% CI: 36-83%), 0.06 (95% CI: 0.02-0.18) and 95% (95% CI: 84-99%) for ddPCR, respectively.",2020-05-12
Cancer ci,2020-02-28,Analysis of factors associated with disease outcomes in hospitalized patients with 2019 novel coronavirus disease,https://doi.org/10.1097/cm9.0000000000000775,Chin Med J (Engl),,,,,,,,,Other,11.0,"Patients included in the study had been diagnosed with COVID-19 associated pneumonia between December 30, 2019, and January 15, 2020 , and hospitalized at one of three tertiary hospitals in Wuhan for over two weeks.","A total of 11 patients (14.1%) were included in the progression group, and 67 patients (85.9%) were included in the improvement/stabilization group.","The results of univariate logistic analysis found that age (OR, 10.575; 95% CI: 2.095–53.386; P = 0.004), history of smoking (OR, 12.187; 95% CI: 1.762–84.306; P = 0.011), maximum body temperature at admission (OR, 9.709; 95% CI: 1.176–83.330; P = 0.035), respiratory failure (OR, 8.021; 95% CI: 2.022–31.821; P = 0.003), severe illness (OR, 4.651; 95% CI: 0.930–23.250; P = 0.061), albumin (OR, 12.536; 95% CI: 2.409–65.233; P = 0.003), creatinine (OR, 6.800; 95% CI: 1.424–32.470; P = 0.016), procalcitonin (OR, 3.831; 95% CI: 0.551–27.027; P = 0.071), C-reactive protein (OR, 5.988; 95% CI: 1.179–30.300; P = 0.031) were significantly associated with the disease progression.

Multivariate logistic analysis indicated that age (odds ratio [OR], 8.546; 95% confidence interval [CI]: 1.628–44.864; P = 0.011), history of smoking (OR, 14.285; 95% CI: 1.577–25.000; P = 0.018), maximum body temperature at admission (OR, 8.999; 95% CI: 1.036–78.147, P = 0.046), respiratory failure (OR, 8.772, 95% CI: 1.942–40.000; P = 0.016), albumin (OR, 7.353, 95% CI: 1.098–50.000; P = 0.003), and C-reactive protein (OR, 10.530; 95% CI: 1.224−34.701, P = 0.028) were risk factors for disease progression.",2020-05-12
Cardio cerebrovascular disease,2020-07-15,Myocardial injury and COVID-19: Possible mechanisms,https://doi.org/10.1016/j.lfs.2020.117723,Life Sci,,,,,,,,,Cross-sectional,419.0,"in a single center in Wuhan, China examined mortality associated with CVD comorbidity and troponin T (TnT) elevation on admission .","In another case-series of 419 cases with COVID-19 in Shenzhen, China, patients were divided into 36 ICU patients and 383 non-ICU patients.","Hypertension, arrhythmia, cardiomyopathy and coronary heart disease are amongst major cardiovascular disease comorbidities seen in severe cases of COVID-19.

of 1527 patients mostly in Wuhan, China indicated the prevalence of hypertension, cardiac and cerebrovascular disease, and diabetes to be 17.1%, 16.4%, and 9.7% respectively amongst patients with COVID-19.

In this study, CVD was defined as patients with hypertension, coronary artery disease, or cardiomyopathy.",2020-05-12
Cardio cerebrovascular disease,2020-06-30,Epidemiology and clinical features of COVID-19: A review of current literature,https://doi.org/10.1016/j.jcv.2020.104357,Journal of Clinical Virology,,,,,,,,,Other,10.0,Evaluation of all positive cases from mainland China showed 3.8 % being from healthcare workers (1716/44672) .,tested 445 people that were in close contact (at least 6 feet from the source for a minimum of 10 min) with 10 COVID-19-confirmed patients.,"Comorbidities associated with severe COVID-19 cases include elderly age, hypertension, cardiovascular disease, cerebrovascular disease, and chronic kidney disease .

Other associated comorbidities include hypertension, cardiovascular disease, and chronic kidney disease .",2020-05-12
Cardio cerebrovascular disease,2020-06-30,"The experience on coronavirus disease 2019 and cancer from an oncology hub institution in Milan, Lombardy Region",https://doi.org/10.1016/j.ejca.2020.04.017,European Journal of Cancer,,,,,,,,,Other,909.0,We extracted the data of laboratory-diagnosed patients with COVID-19 who had been referred to our division from 1st February 2020 and retrospectively gathered clinicopathological data.,"In Italy, we report the analysis of the Italian Medical Council on 909 patients who died from COVID-19; of whom, 16.5% were patients with cancer.","More than 50% (n = 470) presented three or more comorbid conditions, including ischaemic heart disease, atrial fibrillation, heart failure, stroke, hypertension, diabetes mellitus, dementia, chronic respiratory disease, cancer, kidney diseases or liver diseases.",2020-05-12
Cardio cerebrovascular disease,2020-05-31,Coronavirus disease 2019 (COVID-19): A literature review,https://doi.org/10.1016/j.jiph.2020.03.019,Journal of Infection and Public Health,,,,,,,,,Other,425.0,"Outside China, as of February 12, 2020, there were 441 confirmed COVID-19 cases reported in 24 countries of which the first imported case was reported in Thailand on January 13, 2020 .","In a study of 425 COVID-19 patients in Wuhan, published on January 29, there were no cases in children under 15 years of age .",SARS-CoV-2 is also more likely to infect people with chronic comorbidities such as cardiovascular and cerebrovascular diseases and diabetes .,2020-05-12
Cardio cerebrovascular disease,2020-05-08,Clinical course of severe and critical COVID-19 in hospitalized pregnancies: a US cohort study,https://doi.org/10.1016/j.ajogmf.2020.100134,American Journal of Obstetrics & Gynecology MFM,,,,,,,,,Other,64.0,"Study Design This is a cohort study of pregnant women with severe or critical COVID-19 infection hospitalized at 12 US institutions between March 5, 2020 and April 20, 2020.","Results Of 64 pregnant women hospitalized with COVID-19, 44 (69%) had severe and 20 (31%) critical disease.","In one study, patients requiring ICU care were more likely to have comorbid hypertension, cardiovascular disease, diabetes, and cerebrovascular disease 16 .",2020-05-12
Cardio cerebrovascular disease,2020-05-03,A review of cardiac manifestations and predictors of outcome in patients with COVID – 19,https://doi.org/10.1016/j.hrtlng.2020.04.019,Heart & Lung,,,,,,,,,Other,90.0,"21, 28 Electrocardiography Data on EKG findings on patients with COVID-19 is scanty.",The study including 90 patients who underwent non contrast computed tomography (CT) of chest reported pericardial effusion in 1% of patients.,"15 Across all studies, cardiovascular risk factors like advanced age, hypertension, DM, coronary artery disease, heart failure, atrial fibrillation, cerebrovascular disease have been reported to be associated with increased mortality.

Most studies have shown that patients with cardiovascular risk factors like advanced age, hypertension, DM, cardiovascular diseases, cerebrovascular disease had the worst clinical outcome.

Cardiovascular risk factors in terms of DM, ischemic heart disease, atrial fibrillation and a history of stroke was present in 35.5%, 30%, 24.5%, and 9.6% respectively in a subset of patients who succumbed to the disease.

6, 7 Cardiovascular comorbidities including hypertension, diabetes mellitus (DM), coronary artery disease, heart failure have been reported in larger numbers.

Established cardiovascular risk factors such as diabetes mellitus, hypertension, and coronary artery disease predispose to cardiac injury, the severity of illness and mortality.

Presence of comorbidities like hypertension, diabetes, heart failure, coronary artery disease are risk factors for cardiac involvement.",2020-05-12
Cardio cerebrovascular disease,2020-04-30,May drug-related cardiovascular toxicities persist after hospital discharge in COVID-19 patients?,https://doi.org/10.1016/j.ijantimicag.2020.106003,International Journal of Antimicrobial Agents,,,,,,,,,Other,,We suggest follow-up ECG evaluations for people who receive hydroxychloroquine and/or azithromycin.,,"Hypertension, diabetes, cardiovascular diseases and cerebrovascular diseases, were highlighted as risk factors for fatality.",2020-05-12
Cardio cerebrovascular disease,2020-04-29,Systematic review of international guidelines for tracheostomy in COVID-19 patients.,https://doi.org/10.1101/2020.04.26.20080242,medrxiv,,,,,,,,,Systematic review,,"This review of international guidelines for tracheostomy in COVID-19 infected patients, aiming to summarize in a systematic way the available recommendations from 18 guidelines from all over the world.",The optimal timing of tracheostomy in patients with COVID-19 is unknown.," Elderly, hypertension, diabetes, chronic obstructive pulmonary disease, cardiovascular disease, and cerebrovascular disease are significant risk factors for COVID-19 patients.

A recent meta-analysis identified hypertension, diabetes, chronic obstructive pulmonary disease, cardiovascular disease, and cerebrovascular disease as significant risk factors for COVID-19 patients.",2020-05-12
Cardio cerebrovascular disease,2020-04-28,Prognostic Value of Right Ventricular Longitudinal Strain in Patients with COVID-19,https://doi.org/10.1016/j.jcmg.2020.04.014,JACC: Cardiovascular Imaging,,,,,,,,,Other,120.0,"This observational study was performed at the west branch of Union Hospital, Tongji Medical College, Huazhong University of Science and Technology-a designated hospital to treat patients with COVID-19.",Methods 120 consecutive patients with COVID-19 who underwent echocardiography examination were enrolled in our study.,"All potential predictors of higher mortality were entered into univariate analyses, including sex, age, cardiac injury and inflammatory marker, LVEF, PASP, RV function echocardiographic parameters, acute respiratory distress syndrome (ARDS), and comorbidities (diabetes mellitus, hypertension, cardiovascular artery disease, malignancy and arrhythmia).",2020-05-12
Cardio cerebrovascular disease,2020-04-27,Risk factors for predicting mortality in elderly patients with COVID-19: a review of clinical data in China,https://doi.org/10.1016/j.mad.2020.111255,Mechanisms of Ageing and Development,,,,,,,,,Case series,154.0,"Due to data availability, clinical data of individuals reported by the media and Chinese health authorities were sought by performing a search on Google.","A total of 154 individual cases in 26 provinces, including 89 deceased patients and 65 surviving patients, were identified from 86 sources originating from the official web pages of Chinese health authorities and the media under the supervision of the Chinese government such as Xinhua, Sina and the Paper.","The most commonly observed comorbidities in deceased patients were hypertension (53.2%), cardiovascular and cerebrovascular disease (42.0%), and diabetes (37.8%).",2020-05-01
Cardio cerebrovascular disease,2020-04-27,Management of ovarian cancer patients in affected areas during COVID-19 pandemic: Japan and Korea,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189076/,J Gynecol Oncol,,,,,,,,,Other,2.0,"She received three cycles of neoadjuvant paclitaxel-carboplatin from December 12, 2019 to January 28, 2020.",We present two ovarian cancer patients whose treatment courses were affected by the local circumstances of COVID-19 in Daegu.,"In particular, severe cases of COVID-19 often have underlying diseases such as hypertension, cardiovascular disease, cerebrovascular disease, and diabetes mellitus .",2020-05-12
Cardio cerebrovascular disease,2020-04-24,Prevalence and Impact of Myocardial Injury in Patients Hospitalized with COVID-19 Infection,https://doi.org/10.1101/2020.04.20.20072702,medrxiv,,,,,,,,,Other,2736.0,Data was collected from electronic health records (EHR) from the five hospitals.,"Of 2736 COVID-19 patients included in our study, 506 (18.5%) died, 1132 (41.4%) were discharged, and 1098 (40.1%) remained hospitalized at the time of data freeze for this report.","Cardiovascular disease (CVD) including coronary artery disease, atrial fibrillation, and heart failure, was more prevalent in patients with higher troponin concentrations, as were hypertension and diabetes.

Patients with cardiovascular risk factors had comorbidities of DM or HTN, but not cardiovascular disease Central Figure.

Patients with cardiovascular disease had comorbidities of coronary artery disease, heart failure, or atrial fibrillation.

Patients with a history of cardiovascular disease (in red, bottom left panel) including coronary artery disease, atrial fibrillation, and heart failure had higher troponin concentrations than patients without cardiovascular disease.

Comorbidities were extracted using International Classification of Disease (ICD) 9/10 billing codes for atrial fibrillation (AF), asthma, coronary artery disease (CAD), cancer, chronic kidney disease (CKD), chronic obstructive pulmonary disease (COPD), diabetes (DM), heart failure (HF), and hypertension All rights reserved.",2020-05-01
Cardio cerebrovascular disease,2020-04-24,Oral hygiene risk factor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7180644/,Br Dent J,,,,,,,,,Other,,"The three main comorbidities associated with an increased risk of complications from COVID-19 are diabetes, hypertension and cardiovascular disease.","Periodontopathic bacteria are implicated in systemic inflammation, bacteraemia, and pneumonia.6 Bacteria present in the metagenome of patients severely infected with COVID-19 included high reads for Prevotella, Staphylococcus, and Fusobacterium, all usually commensal organisms of the mouth.7 Over 80% of patients in ICU exhibited an exceptionally high bacterial load,3 and treatment has been successful with a dual regime of an antiviral and an antibiotic.8 It is clear that bacterial superinfections are common in patients suffering from a severe case of COVID-19.","The three main comorbidities associated with an increased risk of complications from COVID-19 are diabetes, hypertension and cardiovascular disease.",2020-05-01
Cardio cerebrovascular disease,2020-04-23,Risk factors of critical & mortal COVID-19 cases: A systematic literature review and meta-analysis,https://doi.org/10.1016/j.jinf.2020.04.021,Journal of Infection,,,,,,,,,Systematic review,13.0,"Methods The data of COVID-19 patients until March 20, 2020 were retrieved from four databases.","Results Thirteen studies were included in Meta-analysis, including a total number of 3027 patients with SARS-CoV-2 infection.","The proportion of underlying diseases such as hypertension, diabetes, cardiovascular disease, and respiratory disease were statistically significant higher in critical/mortal patients compared to the non-critical patients (diabetes: OR=3.68, 95% CI (2.68, 5.03), P < 0.00001; hypertension: OR = 2.72, 95% CI (1.60,4.64), P = 0.0002; cardiovascular disease: OR = 5.19, 95% CI(3.25, 8.29), P < 0.00001; respiratory disease: OR = 5.15, 95% CI(2.51, 10.57), P < 0.00001).",2020-05-01
Cardio cerebrovascular disease,2020-04-22,Coronavirus Disease (COVID-19) Pandemic: An Overview of Systematic Reviews,https://doi.org/10.1101/2020.04.16.20068213,medrxiv,,,,,,,,,Systematic review,1063.0,"Methods: Nine databases (Medline, EMBASE, Cochrane Library, CINAHL, Web of Sciences, PDQ-Evidence, WHO's Global Research, LILACS and Epistemonikos) were searched from December 1, 2019 to March 24, 2020.","Our search retrieved 1,063 publications, of which 175 were duplicates.","Patients with severe disease/in ICU were more likely to have hypertension, cardio-cerebrovascular diseases and diabetes than patients with non-severe disease/not in ICU; 8.0% of patients with COVID-19 suffered acute cardiac injury.

The most prevalent comorbidities among confirmed cases of COVID-19 were hypertension (17.1%), cardiocerebrovascular disease (16.4%) and diabetes (9.7%).

The most common comorbidities were hypertension (17±7, 95% CI 14-22%), diabetes (8±6, 95% CI 6-11%), cardiovascular diseases (5±4, 95% CI 4-7%) and respiratory system diseases (2±0, 95% CI 1-3%).

There was a higher likelihood that patients with severe disease had hypertension (OR 2.36, 95% CI: 1.46-3.83), respiratory disease (OR 2.46, 95% CI: 1.76-3.44), or cardiovascular disease (OR 3.42, 95% CI: 1.88-6.22), compared with patients with non-severe disease.",2020-05-01
Cardio cerebrovascular disease,2020-04-21,Management of Acute Myocardial Infarction During the COVID-19 Pandemic,https://doi.org/10.1016/j.jacc.2020.04.039,Journal of the American College of Cardiology,,,,,,,,,Other,,Observational studies from China and Europe have provided some guidance regarding the management of AMI in patients with COVID-19.,Observational studies from China and Europe have provided some guidance regarding the management of AMI in patients with COVID-19.,"Although there is an association between cardiovascular disease and COVID-19, the majority of patients who need cardiovascular care for the management of ischemic heart disease may not be infected with COVID-19.

Cardiovascular manifestations of COVID-19 are complex with patients presenting with AMI, myocarditis simulating a ST-elevation MI presentation, stress cardiomyopathy, non-ischemic cardiomyopathy, coronary spasm, or nonspecific myocardial injury and the prevalence of COVID-19 disease in the US population remains unknown with risk of asymptomatic spread.

There is a recognition of two major challenges in providing recommendations for AMI care in the COVID-19 era: 1) Cardiovascular manifestations in the COVID-19 patient are complex: patients may present with AMI, myocarditis simulating a STEMI presentation, stress cardiomyopathy, non-ischemic cardiomyopathy, coronary spasm, or myocardial injury without a documented Type I or Type II AMI.",2020-04-24
Cardio cerebrovascular disease,2020-04-18,Social Isolation as a predictor for mortality: Implications for COVID-19 prognosis,https://doi.org/10.1101/2020.04.15.20066548,medrxiv,,,,,,,,,Case series,994.0,"/2020 Willis, Haisten, and Vanessa Williams.","[Insert Table 1] Mortality Out of 994 participants (54% females vs. 46% males) with social isolation, 324 deaths were reported (including 71 CVD deaths) during an average of 10-year follow-up.","For this study, cardiovascular mortality was defined as death due to diseases of the heart, essential hypertension and hypertensive kidney disease, cerebrovascular disease, atherosclerosis, and other diseases/disorders of the circulatory system (codes I00-I99).

Presence of CVD was determined by identifying those individuals that had a self-reported diagnosis of coronary heart disease, angina, stroke, congestive heart failure (CHF), or heart attack.",2020-04-24
Cardio cerebrovascular disease,2020-04-18,Cardiovascular complications in COVID-19,https://doi.org/10.1016/j.ajem.2020.04.048,The American Journal of Emergency Medicine,,,,,,,,,Other,45.0,A total of 45 articles were selected for inclusion.,A total of 45 articles were selected for inclusion.,"COVID-19 is associated with a number of cardiovascular complications, including myocardial injury and myocarditis, AMI, heart failure, dysrhythmias, and VTE.

The cardiovascular system is also affected, with complications including myocardial injury, myocarditis, acute myocardial infarction, heart failure, dysrhythmias, and venous thromboembolic events.",2020-04-24
Cardio cerebrovascular disease,2020-04-17,A Review of Salivary Diagnostics and Its Potential Implication in Detection of Covid-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164701/,PMC,,,,,,,,,Other,12.0,"In Hong Kong, Covid-19 testing was performed by Public Health Laboratory Services Branch for patients who fulfilled the enhanced surveillance criteria .",A total of 12 patients with laboratory-confirmed Covid-19 infection in Hong Kong were included.,"Cardiovascular disease (CVD) is the group of disorders of heart and blood vessels and includes diseases such as atherosclerosis, myocardial infarction and coronary heart disease.",2020-04-24
Cardio cerebrovascular disease,2020-04-16,Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis,https://doi.org/10.1101/2020.04.12.20062869,medrxiv,,,,,,,,,Systematic review,3473.0,"Searched Databases included PubMed, Embase, Scopus, Web of Science, Cochrane Library, medRxiv pre-print database as well as Science Direct search engine.",Results: Sixteen papers including 3473 patients entered into meta-analysis for ICU admission and mortality outcome and fifty-nine papers including 9509 patients for descriptive outcomes.,"Pooled prevalence of cardiovascular complications observed among patients with COVID-19 included hypertension (27%), cardiovascular and cerebrovascular disease (23%), heart failure (21%), acute cardiac injury (20%), coronary heart disease (17%), myocardial damage (16%), cardiovascular disease (12%), arrhythmia (11%), cardiomyopathy (12%) and heart palpitation (6%) ( Table 4 ).

Arrhythmia (OR: 22.17, 95%CI 4.47-110.04), acute cardiac injury (OR: 19.83, 95%CI 7.85-50.13), coronary heart disease (OR: 4.19, 95%CI 1.27-13.80), cardiovascular disease (OR: 4.17, 95%CI 2.52-6.88) and hypertension (OR: 2.69, 95%CI 1.55-4.67) were also significantly associated with ICU admission in COVID-19 patients.

Results of meta-analysis indicated that acute cardiac injury, (OR: 15.94, 95% CI 2.31-110.14), hypertension (OR: 1.92, 95% CI 1.92-2.74), heart Failure (OR: 11.73, 95% CI 5.17-26.60), other cardiovascular disease (OR: 1.95, 95% CI 1.17-3.24) and overall CVDs (OR: 3.37, 95% CI 2.06-5.52) were significantly associated with mortality in COVID-19 patients.

Results of meta-analysis indicated that acute cardiac injury (OR: 15.94, 95% CI 2.31-110.14), Hypertension (OR: 1.92, 95% CI 1.92-2.74), Heart Failure (OR: 11.73, 95% CI 5.17-26.60), other cardiovascular disease (OR: 1.95, 95% CI 1.17-3.24) and overall CVDs (OR: 3.37, 95% CI 2.06-5.52) were significantly associated with mortality in COVID-19 patients.

The meta-analysis showed mortality rate of acute cardiac injury and coronary heart disease were 74% (95% CI 0.30-1.18) and 48% (95% CI 0.10-0.86) among COVID-19 patients.

Odds of mortality of COVID-19 patients with heart failure was significantly higher than hypertension and other cardiovascular diseases ( Table 2) .",2020-04-24
Cardio cerebrovascular disease,2020-04-16,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio Emilia, Italy",https://doi.org/10.1101/2020.04.13.20063545,medrxiv,,,,,,,,,Prospective observational,2653.0,"All 2653 symptomatic patients who tested positive for SARS-CoV-2 from February 27 to April 2, 2020 in the province of Reggio Emilia.","The cohort includes 2653 SARS-CoV-2 patients, representing all the resident symptomatic patients found positive at PCR from February 27 to April 2, 2020.","The highest risk of death was seen in patients with cardiovascular comorbidities (heart failure, arrhythmia, ischemic heart disease), followed by dementia and diabetes.

The strongest effects were for heart failure, arrhythmia, dementia, ischemic heart disease, diabetes, and hypertension, all with ≥ 50% excess hazard.",2020-04-24
Cardio cerebrovascular disease,2020-04-13,All about COVID-19 in brief,https://doi.org/10.1016/j.nmni.2020.100678,New Microbes New Infect,,,,,,,,,Other,750.0,According to coronavirus disease 2019 (COVID-19) Situation Report -71 (Data as reported by 10:00 CET 31 March 2020) 750 890 cases were globally confirmed and 36 405 persons died .,According to coronavirus disease 2019 (COVID-19) Situation Report -71 (Data as reported by 10:00 CET 31 March 2020) 750 890 cases were globally confirmed and 36 405 persons died .,"ICU care is required for aged patients or patients likely to have comorbidities including hypertension, diabetes, cardiovascular diseases and cerebrovascular disorders.",2020-05-12
Cardio cerebrovascular disease,2020-04-11,"Hypertension in patients hospitalized with COVID-19 in Wuhan, China: A single-center retrospective observational study",https://doi.org/10.1101/2020.04.06.20054825,medrxiv,,,,,,,,,Retrospective observational,75.0,"Methods: This observational study included data from all patients with clinically confirmed COVID-19 who were admitted to the Hankou Hospital, Wuhan, China between January 5 and March 8, 2020.",There were 75 patients with hypertension and 199 patients without .,"Patients with hypertension were older and were more likely to have pre-existing comorbidities, including chronic renal insufficiency, cardiovascular disease, diabetes mellitus, and cerebrovascular disease than patients without hypertension.

Compared to patients without hypertension, patients with hypertension were significantly older and more likely to have underlying comorbidities, including chronic renal insufficiency, cardiovascular disease, diabetes mellitus, and cerebrovascular disease.

Conclusions: COVID-19 patients with hypertension were significantly older and were more likely to have underlying comorbidities, including chronic renal insufficiency, cardiovascular disease, diabetes mellitus, and cerebrovascular disease.",2020-04-17
Cardio cerebrovascular disease,2020-04-10,"COVID-19 for the Cardiologist: A Current Review of the Virology, Clinical Epidemiology, Cardiac and Other Clinical Manifestations and Potential Therapeutic Strategies",https://doi.org/10.1016/j.jacbts.2020.04.002,JACC: Basic to Translational Science,,,,,,,,,Other,3.0,"Following implementation of such measures in China, the R o steadily decreased from 2.38 prior to January 23 rd to 0.99 during the period of January 24-February 8, 2020 .",Micro-and macro-thromboses were observed in autopsy evaluations of 3 patients who died from SARS-CoV1 (80) .,"Notably, patients with evidence of cardiac injury tend to be older with more comorbidities, including baseline hypertension, diabetes, coronary heart disease, and heart failure .",2020-04-17
